Location,Time,s,Y
广东省,2009,0.48176271396001,0.47771933307204045
广东省,2010,0.572008267835601,0.5370965219783925
广东省,2011,0.557038695811778,0.5628297167722937
广东省,2012,0.647945739488484,0.6127780944447573
广东省,2013,0.633669200518966,0.6391921196969174
广东省,2014,0.638227557171784,0.6364641441042651
广东省,2015,0.670489670539156,0.6580089814156691
广东省,2016,0.721299214636422,0.7016433998680874
广东省,2017,0.709509844536658,0.7140705954552787
广东省,2018,0.816197200344392,0.7749248972537398
广东省,2019,0.728195548006703,0.7622392342548163
广东省,2020,0.896264446270493,0.8312465211683294
广东省,2021,0.838896325385454,0.8610893439956019
广西壮族自治区,1990,0.0210188379365157,0.0210188379365157
广西壮族自治区,1991,0.0647214817505923,0.04781499130754549
广西壮族自治区,1992,0.0711929059880782,0.06868941735500113
广西壮族自治区,1993,0.104077229580578,0.09135583668481038
广西壮族自治区,1994,0.138872733145099,0.12541199491202454
广西壮族自治区,1995,0.175103564096936,0.16108756543477776
广西壮族自治区,1996,0.169418245340762,0.1716176268616111
广西壮族自治区,1997,0.216109944435661,0.19804712956624884
广西壮族自治区,1998,0.260409993991391,0.24327239546012758
广西壮族自治区,1999,0.269850785336231,0.2661985887019641
广西壮族自治区,2000,0.251821690122886,0.2587962962180674
广西壮族自治区,2001,0.334480243680382,0.302503550194718
广西壮族自治区,2002,0.327292072927021,0.3300728369618399
广西壮族自治区,2003,0.346057629744198,0.3387981214101538
广西壮族自治区,2004,0.408364774865346,0.3842610808644599
广西壮族自治区,2005,0.407970386568573,0.4081229567883201
广西壮族自治区,2006,0.487603756373995,0.4567973637152211
广西壮族自治区,2007,0.45240630099031,0.46602253541300104
广西壮族自治区,2008,0.473979188141323,0.4656336561867997
广西壮族自治区,2009,0.556585958463723,0.5246292974679236
广西壮族自治区,2010,0.58646631254789,0.5749070136892679
广西壮族自治区,2011,0.553338535230121,0.5661541088829407
广西壮族自治区,2012,0.606860983734982,0.5861556742808103
广西壮族自治区,2013,0.626308112500629,0.618784936144987
广西壮族自治区,2014,0.656925700010196,0.6450812003313708
广西壮族自治区,2015,0.65551911153223,0.6560632542335549
广西壮族自治区,2016,0.682136046277919,0.6718392103515707
广西壮族自治区,2017,0.697044303307952,0.6912770022249096
广西壮族自治区,2018,0.793803355355706,0.7563718444456793
广西壮族自治区,2019,0.826212669403223,0.8136750352833952
广西壮族自治区,2020,0.812066167596367,0.8175387815328977
广西壮族自治区,2021,0.828677739661635,0.8222515063756073
新疆维吾尔自治区,1990,0.0156988488733123,0.0156988488733123
新疆维吾尔自治区,1991,0.0336674301862166,0.02671623406329745
新疆维吾尔自治区,1992,0.0728358621671908,0.057683444300375745
新疆维吾尔自治区,1993,0.113643669249814,0.09785705452281562
新疆维吾尔自治区,1994,0.149332928204096,0.13552643818951152
新疆维吾尔自治区,1995,0.14388857374101,0.14599473754863473
新疆维吾尔自治区,1996,0.189562190478422,0.17189322362699963
新疆维吾尔自治区,1997,0.230135468936558,0.21443958226631932
新疆维吾尔自治区,1998,0.217263593829559,0.222243114849074
新疆维吾尔自治区,1999,0.282839377315409,0.25747120138730345
新疆维吾尔自治区,2000,0.266659926820756,0.27291899266412484
新疆维吾尔自治区,2001,0.287218989219559,0.279265658216472
新疆维吾尔自治区,2002,0.394870255328988,0.3532250608322028
新疆维吾尔自治区,2003,0.387264084190835,0.39020655284793593
新疆维吾尔自治区,2004,0.406711192791748,0.3991880242368898
新疆维吾尔自治区,2005,0.414321272053435,0.411377291527774
新疆维吾尔自治区,2006,0.444812336273677,0.43301678248450776
新疆维吾尔自治区,2007,0.484261738199285,0.4690006263206399
新疆维吾尔自治区,2008,0.542555878332842,0.5200046265768518
新疆维吾尔自治区,2009,0.588098657926854,0.5704803057916465
新疆维吾尔自治区,2010,0.498123958895617,0.532930923795934
新疆维吾尔自治区,2011,0.574831460853155,0.5451569483849323
新疆维吾尔自治区,2012,0.60686395969497,0.5944720975952766
新疆维吾尔自治区,2013,0.66822573641219,0.6444877608322344
新疆维吾尔自治区,2014,0.650661139999477,0.6574560534296768
新疆维吾尔自治区,2015,0.72647168830526,0.6971441648751779
新疆维吾尔自治区,2016,0.738795475952527,0.7340279841054195
新疆维吾尔自治区,2017,0.749143514763033,0.7451403468998168
新疆维吾尔自治区,2018,0.761025118318374,0.7564286866285425
新疆维吾尔自治区,2019,0.785990172169844,0.7763323710046414
新疆维吾尔自治区,2020,0.779540544171561,0.7820356008683154
新疆维吾尔自治区,2021,0.825042626940239,0.8074400184861575
江苏省,1990,0.0331350905267073,0.0331350905267073
江苏省,1991,0.0514002466462646,0.0443343197268367
江苏省,1992,0.0577718038334836,0.05530694904915251
江苏省,1993,0.104155157351808,0.08621162683429205
江苏省,1994,0.159068767331926,0.1378252831557346
江苏省,1995,0.163596624917379,0.1618450104996883
江苏省,1996,0.203209205586433,0.18788496755280473
江苏省,1997,0.186969875146982,0.193252105715093
江苏省,1998,0.225069911326282,0.21033080537458224
江苏省,1999,0.253633284071401,0.24258346314086512
江苏省,2000,0.272463717298922,0.26517911134341293
江苏省,2001,0.288399335675836,0.28223459697170844
江苏省,2002,0.306245022487826,0.2993413684475792
江苏省,2003,0.359805911176009,0.33908573102900863
江苏省,2004,0.38080631210016,0.3726822480496014
江苏省,2005,0.404282888328169,0.39520090891010806
江苏省,2006,0.500326177279407,0.46317156133258236
江苏省,2007,0.489579082221466,0.493736626114247
江苏省,2008,0.495279988166495,0.4930745766978805
江苏省,2009,0.558774990358307,0.5342117705150412
江苏省,2010,0.59147894852587,0.5788273305010673
江苏省,2011,0.593569540852433,0.5927607893421192
